Source,Target,Weight
1,2,80
3,4,91
5,6,42
7,8,56
9,10,36
11,12,20
13,14,24
15,16,62
17,18,76
19,20,12
21,22,12
23,24,29
25,26,76
27,28,75
29,30,93
31,32,12
33,34,15
35,36,77
37,38,4
39,40,1
41,42,23
43,44,3
45,46,80
47,48,71
49,50,63
51,52,55
53,54,37
55,56,53
57,58,28
59,60,15
61,62,5
63,64,48
65,66,21
67,68,71
69,70,48
71,72,93
73,74,37
75,76,36
77,78,12
79,80,28
81,82,51
83,84,53
85,86,55
87,88,72
89,90,46
91,92,18
93,94,89
95,96,75
97,98,13
99,100,9
101,102,94
103,104,38
105,106,10
107,108,1
109,110,73
111,112,51
113,114,56
115,116,64
117,118,9
119,120,93
121,122,45
123,124,77
125,126,38
127,128,37
129,130,30
131,132,85
133,134,74
135,136,39
137,138,95
139,140,100
141,142,8
143,144,8
145,146,19
147,148,33
149,150,42
151,152,48
153,154,96
155,156,100
157,158,94
159,160,78
161,162,24
163,164,69
165,166,66
167,168,96
169,170,83
171,172,81
173,174,3
175,176,96
177,178,33
179,180,12
181,182,50
183,184,11
185,186,20
187,188,87
189,190,76
191,192,92
193,194,80
195,196,3
197,198,50
199,200,22
201,202,25
203,204,1
205,206,28
207,208,95
209,210,86
211,212,75
213,214,86
215,216,100
217,218,28
219,220,48
221,222,87
223,224,93
225,226,75
227,228,91
229,230,40
231,232,9
233,234,8
235,236,100
237,238,4
239,240,76
241,242,10
243,244,8
245,246,13
247,248,79
249,250,79
251,252,77
253,254,30
255,256,99
257,258,8
259,260,96
261,262,27
263,264,91
265,266,44
267,268,65
269,270,37
271,272,80
273,274,72
275,276,93
277,278,29
279,280,65
281,282,65
283,284,32
285,286,22
287,288,32
289,290,61
291,292,67
293,294,31
295,296,59
297,298,58
299,300,34
301,302,6
303,304,61
305,306,92
307,308,41
309,310,35
311,312,34
313,314,21
315,316,15
317,318,50
319,320,72
321,322,77
323,324,77
325,326,72
327,328,38
329,330,32
331,332,87
333,334,47
335,336,78
337,338,6
339,340,17
341,342,2
343,344,3
345,346,61
347,348,11
349,350,42
351,352,62
353,354,26
355,356,80
357,358,44
359,360,8
361,362,78
363,364,38
365,366,2
367,368,35
369,370,31
371,372,4
373,374,99
375,376,81
377,378,86
379,380,17
381,382,23
383,384,97
385,386,81
387,388,55
389,390,0
391,392,58
393,394,16
395,396,48
397,398,63
399,400,15
401,402,82
403,404,69
405,406,58
407,408,78
409,410,68
411,412,43
413,414,27
415,416,95
417,418,52
419,420,94
421,422,88
423,424,7
425,426,50
427,428,2
429,430,11
431,432,31
433,434,75
435,436,41
437,438,1
439,440,60
441,442,42
443,444,32
445,446,12
447,448,2
449,450,10
451,452,100
453,454,62
455,456,78
457,458,72
459,460,17
461,462,3
463,464,0
465,466,90
467,468,51
469,470,6
471,472,76
473,474,90
475,476,54
477,478,89
479,480,7
481,482,68
483,484,98
485,486,79
487,488,95
489,490,47
491,492,59
493,494,12
495,496,65
497,498,45
499,500,44
501,502,51
503,504,81
505,506,63
507,508,84
509,510,13
511,512,10
513,514,65
515,516,59
517,518,9
519,520,93
521,522,88
523,524,8
525,526,56
527,528,40
529,530,1
531,532,60
533,534,11
535,536,50
537,538,41
539,540,75
541,542,7
543,544,23
545,546,51
547,548,69
549,550,83
551,552,59
553,554,70
555,556,2
557,558,19
559,560,15
561,562,30
563,564,89
565,566,18
567,568,24
569,570,14
571,572,83
573,574,52
575,576,68
577,578,41
579,580,78
581,582,9
583,584,42
585,586,58
587,588,21
589,590,41
591,592,81
593,594,70
595,596,58
597,598,34
599,600,3
601,602,14
603,604,56
605,606,78
607,608,100
609,610,62
611,612,83
613,614,87
615,616,51
617,618,36
619,620,54
621,622,51
623,624,33
625,626,53
627,628,97
629,630,29
631,632,15
633,634,67
635,636,15
637,638,53
639,640,15
641,642,84
643,644,89
645,646,0
647,648,43
649,650,7
651,652,86
653,654,71
655,656,42
657,658,55
659,660,10
661,662,55
663,664,89
665,666,97
667,668,85
669,670,5
671,672,45
673,674,43
675,676,86
677,678,35
679,680,10
681,682,79
683,684,38
685,686,25
687,688,66
689,690,89
691,692,48
693,694,60
695,696,1
697,698,100
699,700,84
701,702,3
703,704,69
705,706,7
707,708,26
709,710,73
711,712,7
713,714,31
715,716,47
717,718,43
719,720,53
721,722,77
723,724,63
725,726,6
727,728,61
729,730,33
731,732,73
733,734,25
735,736,97
737,738,27
739,740,68
741,742,33
743,744,23
745,746,20
747,748,16
749,750,71
751,752,73
753,754,50
755,756,8
757,758,29
759,760,16
761,762,72
763,764,20
765,766,92
767,768,8
769,770,80
771,772,88
773,774,33
775,776,61
777,778,90
779,780,100
781,782,2
783,784,32
785,786,26
787,788,42
789,790,76
791,792,33
793,794,42
795,796,54
797,798,77
799,800,38
801,802,27
803,804,1
805,806,90
807,808,40
809,810,33
811,812,2
813,814,60
815,816,97
817,818,24
819,820,85
821,822,21
823,824,39
825,826,42
827,828,30
829,830,6
831,832,100
833,834,16
835,836,76
837,838,27
839,840,32
841,842,99
843,844,28
845,846,53
847,848,93
849,850,14
851,852,56
