Source,Target,Weight
lLP),RJNUCLMe,6
"YWwygb, Unojp'rtHy",X*110,38
IqZt'YgdDJr521,:_^g,31
YHVtHL,"FJb-o @",29
QxMS\gbc,"K_'q;AKp",22
Cfns[WNCdIwxVGVDyD,"Aun ]f(tHgwWgA\389",1
VBG&,"lbKAmnx>/OYO;987",50
VcwPrnQBQaA%fJXbk<,"d;dBf^^lmFm",38
JpjtVMPv*224,"VNPXTRK>yy,ZuApJYWRP",19
lzErNeoeqAQPu,hTdkOyjxoJrCTO,39
bmnEIuWz,"I=^Bo;sVPq",1
M.Usziub%mSlrBC526,"Oj\LJhwF;",29
e.$e,"%t` u185",42
NqOeBwvnZG,phe%J:PCPG\PTRUFobClF,4
&fsJL%FDN:J,yVDQE/KZPlzkYqd*'PMTCuu,41
jKzHNBSSy,RIfEG<,17
"i,eSX'MpQOYms_RC",OlJVfT`qwDujvxC,36
^zpxVuavwHbqyGoG,"Qg ymKYGFXrnTtfgw*gY<353",3
rI_##vDE,li_OJzSj'lrnh,28
"ivi\LPm TbCcZq=lwdC",-VWDbqV`d,50
cqz:PyXHD_kpZ/wpZb214,fhN`O>foY`178,32
"PD^X ",KqfyzLKP+BidhlnA,48
.oVwmidm,hnX,18
a^J,CXniaLALLVLzg:be[pcr,19
Wg'ky,lbF,28
yBIPDrVxDyxzonYFhIS,KxoPsOtQLxQr,5
(LJJfMRjO\yeFy655,Yg/pwh*wvsmBShD<EGkP:161,38
E#D^IjniWrPnxAarww*h,fl+YZ,29
R^PJXUQjctwOaadHsQV(D,D>gYtMgxlsmuIb,25
lRJBVa)qBEcbmK[h&ENZ,DHO^auBOJfdXTBD,24
ebigjFuZV,"ME;TNPAPrD[nkI>g",24
P,'P<*EOCkinuFFeom,19
pHCTwsIcFVnMBMcNLwEG278,"JfYs _zEH&`371",44
":c;",i:dbHaTIK,27
sJEcVMr]obt&Ce,CWs,22
cLnkdzVcd)I,JaueJLyLMIplycf361,3
mmlfgwt%pjN*Rdwe551,"ZiYwNVmBUxqk]DOvZ,910",13
eRtdINcaSscVliUf]107,aH.SssRbV173,20
j'g^`aC,fFpCrRqB=KNoFARhgsm,49
"*t ACglarkl",JDcrmf.BeTEZFNVzpzGiL,19
k:S$EWyoFrgb,oRJgxFFJQzQBXt129,34
N-kehbMqJcWEMYTa\Kl'118,eGXLmu$#@,9
" S>tTfSIlqPamc.xofn",aBvcRYDZrzAVX,17
NFaywOdlgEEsY,dogZGtM,43
