Source,Target,Weight
1,2,83
1,3,74
1,4,57
1,5,33
1,6,46
1,7,46
1,8,11
1,9,57
1,10,77
1,11,19
1,12,19
1,13,70
1,14,3
1,15,48
1,16,4
1,17,58
1,18,79
1,19,28
1,20,78
1,21,0
1,22,16
1,23,43
1,24,37
1,25,32
1,26,4
1,27,58
1,28,45
1,29,16
1,30,65
1,31,66
1,32,75
1,33,22
1,34,34
1,35,47
1,36,72
1,37,53
1,38,1
1,39,24
1,40,34
1,41,64
1,42,84
1,43,31
1,44,61
1,45,54
1,46,40
1,47,14
1,48,86
1,49,89
1,50,70
1,51,98
1,52,18
1,53,88
1,54,65
1,55,49
1,56,82
1,57,17
1,58,72
1,59,16
1,60,1
1,61,53
1,62,62
1,63,20
1,64,79
1,65,70
1,66,1
1,67,73
1,68,85
1,69,52
1,70,17
1,71,39
1,72,63
1,73,99
1,74,21
1,75,68
1,76,22
1,77,47
1,78,91
1,79,84
1,80,4
1,81,70
1,82,7
1,83,30
1,84,75
1,85,88
1,86,71
1,87,9
1,88,17
1,89,7
1,90,60
1,91,89
1,92,32
1,93,13
1,94,36
1,95,67
1,96,44
1,97,84
1,98,27
1,99,90
1,100,13
1,101,84
1,102,85
1,103,82
1,104,1
1,105,38
1,106,77
1,107,89
1,108,81
1,109,45
1,110,73
1,111,26
1,112,100
1,113,26
1,114,13
1,115,66
1,116,46
1,117,56
1,118,18
1,119,19
1,120,92
1,121,5
1,122,96
1,123,51
1,124,65
1,125,2
1,126,22
1,127,57
1,128,74
1,129,27
1,130,80
1,131,29
1,132,38
1,133,43
1,134,50
1,135,81
1,136,10
1,137,6
1,138,96
1,139,93
1,140,5
1,141,25
1,142,4
1,143,91
1,144,93
1,145,86
1,146,99
1,147,90
1,148,33
1,149,22
1,150,7
1,151,28
1,152,73
1,153,45
1,154,13
1,155,83
1,156,7
1,157,86
1,158,15
1,159,33
1,160,80
1,161,0
1,162,21
1,163,94
1,164,26
1,165,8
1,166,13
1,167,30
1,168,20
1,169,48
1,170,80
1,171,72
1,172,9
1,173,6
1,174,48
1,175,59
1,176,7
1,177,80
1,178,26
1,179,40
1,180,28
1,181,82
1,182,41
1,183,70
1,184,90
1,185,85
1,186,45
1,187,86
1,188,40
1,189,53
1,190,84
1,191,80
1,192,24
1,193,36
1,194,100
1,195,94
1,196,96
1,197,93
1,198,97
1,199,81
1,200,72
1,201,3
1,202,26
1,203,15
1,204,15
1,205,98
1,206,90
1,207,15
1,208,10
1,209,32
1,210,41
1,211,8
1,212,86
1,213,54
1,214,60
1,215,25
1,216,83
1,217,92
1,218,33
1,219,64
1,220,66
1,221,66
1,222,1
1,223,51
1,224,49
1,225,31
1,226,24
1,227,42
1,228,16
1,229,75
1,230,15
1,231,17
1,232,89
1,233,0
1,234,85
1,235,28
1,236,60
1,237,89
1,238,63
1,239,81
1,240,3
1,241,3
1,242,73
1,243,34
1,244,89
1,245,100
1,246,26
1,247,66
1,248,6
1,249,22
1,250,7
1,251,86
1,252,44
1,253,77
1,254,27
1,255,3
1,256,37
1,257,72
1,258,63
1,259,34
1,260,47
1,261,16
1,262,51
1,263,4
1,264,51
1,265,61
1,266,97
1,267,91
1,268,73
1,269,24
1,270,69
1,271,48
1,272,58
1,273,26
1,274,28
1,275,58
1,276,85
1,277,36
1,278,55
1,279,96
1,280,53
1,281,35
1,282,65
1,283,38
1,284,1
1,285,29
1,286,80
1,287,30
1,288,49
1,289,6
1,290,8
1,291,91
1,292,83
1,293,90
1,294,60
1,295,62
1,296,39
1,297,73
1,298,2
1,299,17
1,300,97
1,301,47
1,302,51
1,303,8
1,304,98
1,305,20
1,306,91
1,307,61
1,308,15
1,309,45
1,310,20
1,311,2
1,312,28
1,313,5
1,314,86
1,315,54
1,316,100
1,317,55
1,318,25
1,319,84
1,320,7
1,321,98
1,322,17
1,323,53
1,324,63
1,325,50
1,326,7
1,327,76
1,328,96
1,329,54
1,330,70
1,331,59
1,332,48
1,333,78
1,334,75
1,335,98
1,336,47
1,337,85
1,338,66
1,339,66
1,340,20
1,341,81
1,342,78
1,343,70
1,344,72
1,345,76
1,346,63
1,347,17
1,348,19
1,349,90
1,350,12
1,351,100
1,352,25
1,353,65
1,354,88
1,355,41
1,356,66
1,357,90
1,358,54
1,359,65
1,360,40
1,361,1
1,362,42
1,363,24
1,364,72
1,365,2
1,366,79
1,367,37
1,368,89
1,369,59
1,370,73
1,371,6
1,372,22
1,373,35
1,374,56
1,375,31
1,376,67
1,377,22
1,378,24
1,379,86
1,380,28
1,381,19
1,382,24
1,383,27
1,384,29
1,385,61
1,386,98
1,387,6
1,388,91
1,389,69
1,390,77
1,391,65
1,392,36
1,393,84
1,394,53
1,395,23
1,396,65
1,397,16
1,398,21
1,399,79
1,400,86
1,401,61
1,402,53
1,403,7
1,404,15
1,405,54
1,406,2
1,407,36
1,408,7
1,409,64
1,410,38
1,411,32
1,412,32
1,413,100
1,414,91
1,415,2
1,416,69
1,417,44
1,418,80
1,419,65
1,420,73
1,421,70
1,422,9
1,423,26
1,424,15
1,425,20
1,426,6
1,427,98
1,428,97
1,429,28
1,430,50
1,431,99
1,432,41
1,433,13
1,434,69
1,435,9
1,436,72
1,437,16
1,438,10
1,439,57
1,440,50
1,441,89
1,442,7
1,443,84
1,444,54
1,445,43
1,446,15
1,447,74
1,448,94
1,449,12
1,450,36
1,451,5
1,452,54
1,453,46
1,454,67
1,455,15
1,456,75
1,457,79
1,458,43
1,459,47
1,460,96
1,461,2
1,462,83
1,463,15
1,464,90
1,465,36
1,466,29
1,467,58
1,468,19
1,469,55
1,470,40
1,471,55
1,472,73
1,473,92
1,474,89
1,475,52
1,476,6
1,477,97
1,478,1
1,479,5
1,480,79
1,481,25
1,482,44
1,483,14
1,484,44
1,485,47
1,486,8
1,487,31
1,488,65
1,489,90
1,490,37
1,491,39
1,492,6
1,493,47
1,494,43
1,495,47
1,496,100
1,497,64
1,498,79
1,499,15
1,500,54
1,501,27
1,502,23
1,503,72
1,504,97
1,505,12
1,506,28
1,507,57
1,508,74
1,509,49
1,510,48
1,511,68
1,512,47
1,513,100
1,514,14
1,515,34
1,516,19
1,517,28
1,518,39
1,519,62
1,520,28
1,521,55
1,522,28
1,523,27
1,524,15
1,525,12
1,526,44
1,527,13
1,528,76
1,529,24
1,530,17
1,531,32
1,532,96
1,533,100
1,534,32
1,535,68
1,536,97
1,537,31
1,538,62
1,539,0
1,540,27
1,541,39
1,542,29
1,543,82
1,544,37
